BR1980-0000013,2-029 잠실철교
BR1980-0000014,2-031-2 (잠실나루-잠실)
BR1983-0000049,2-061-2 (신림-신대방)
BR1980-0000027,2-063 (신대방-구로디지털단지)
BR1984-0000018,2-065 (구로디지털단지-대림)
BR1984-0000017,2-066 대림철교
BR1984-0000019,2-068-2 (대림-신도림)
BR1984-0000016,2-074-2 (영등포구청-당산)
BR1999-0000280,2-076 당산철교
BR1984-0000036,2-077-2 (당산-합정)
BR1995-0000072,2-090 (군자기지방향선)
BR1980-0000031,2-096 (용답-성수)
BR1980-0000036,2-097 성동(장안)철교
AR1980-0000035,2-034 잠실새내역  2종
AR1982-0000032,2-036 종합운동장역
AR1982-0000040,2-038 삼성역
AR1982-0000041,2-040 선릉역
AR1982-0000042,2-042 역삼역
AR1982-0000043,2-044 강남역
AR1982-0000038,2-046 교대역
AR1983-0000043,2-048 서초역
AR1983-0000044,2-050 방배역
AR1983-0000045,2-052 사당역
AR1983-0000046,2-054 낙성대역
AR1983-0000047,2-056 서울대역
AR1984-0000010,2-058 봉천역
AR1984-0000011,2-060 신림역
AR1984-0000012,2-069 신도림역
AR1984-0000013,2-071 문래역
AR1984-0000026,2-073 영등포구청역
AR1984-0000034,2-078 합정역
AR1983-0000015,2-080 홍대입구역
AR1984-0000021,2-082 신촌역
AR1984-0000022,2-084 이대역
AR1984-0000024,2-086 아현역
AR1984-0000023,2-088 충정로역
AR1977-0000010,2-091 신설(2)역  2종
AR1980-0000032,2-094 신답역
AR1980-0000027,2-095 용답역
AR1991-0000155,2-099 도림천역
AR1991-0000123,2-102 양천구청역
AR1996-0000074,2-104 신정네거리역
AR2006-0000660,2-106 용두역
AR2011-0000608,강변역
AR2011-0000606,건대입구역
AR2011-0000618,구로디지털단지역
AR2011-0000607,구의역
AR2011-0000620,당산역
AR2011-0000619,대림역
AR2011-0000604,뚝섬역
AR2011-0000605,성수역
AR2011-0000610,신대방역
AR1993-0000475,신정기지 주공장
AR2011-0000609,잠실나루역
AR2011-0000603,한양대역
TU1980-0000001,2-031-1 잠실나루-잠실역간 본선터널
TU1980-0000002,2-033 잠실-잠실새내역간 본선터널
TU1982-0000001,2-035 잠실새내-종합운동장간 본선터널
TU1982-0000002,2-037 종합운동장-삼성간본선터널
TU1983-0000016,2-039 삼성-선릉역간 본선터널
TU1982-0000005,2-041 선릉-역삼역간 본선터널
TU1983-0000002,2-043 역삼-강남역간 본선터널
TU1983-0000003,2-045 강남-교대역간 본선터널
TU1982-0000003,2-047 교대-서초역간 본선터널
TU1983-0000013,2-049 서초-방배역간 본선터널
TU1983-0000014,2-051 방배역-사당역(2)
TU1982-0000004,2-053 사당역-낙성대역(2)
TU1983-0000015,2-055 낙성대역-서울대입구역(2)
TU1984-0000003,2-057 서울대입구역-봉천역(2)
TU1984-0000004,2-059 봉천역-신림역(2)
TU1984-0000012,2-061-1 신림-신대방간 본선터널
TU1984-0000013,2-068-1 대림-신도림간 본선터널
TU1984-0000014,2-070 신도림역-문래역(2)
TU1984-0000015,2-072 문래역-영등포구청역(2)
TU1984-0000016,2-074-1영등포구청-당산간본선터널
TU1984-0000018,2-077-1당산역~합정역
TU1984-0000005,2-079 합정역-홍대입구역(2)
TU1984-0000006,2-081 홍대입구역-신촌역(2)
TU1984-0000007,2-083 신촌-이대역간 본선터널
TU1984-0000010,2-085 이대-아현역간 본선터널
TU1984-0000008,2-087 (아현-충정로)
TU1984-0000009,2-089 (충정로-시청)
TU1977-0000004,2-092 신설-용두
TU2006-0000140,2-092-1 용두~신답
TU1977-0000005,2-093 (군자기지 입,출고선)
TU1992-0000004,2-098 신도림-도림천역간 본선터널
TU1992-0000003,2-100 도림천-양천구청간 본선터널
TU1991-0000002,2-101 신정기지 입,출고선
TU1995-0000008,2-103양천구청-신정네거리간본선터널
TU1995-0000044,2-105 신정4거리-까치산간본선터널
