BR1993-0000020,4-001 (시점-당고개)
BR1993-0000021,4-003 (당고개역-상계)
BR1985-0000024,4-005 (상계-노원)
BR1985-0000025,4-007 (노원-창동)
BR1985-0000026,4-009 노원~창동(입,출고선)
BR1995-0000044,4-010 창동기지출고선
BR1985-0000027,4-011-2 (창동-쌍문)
BR1985-0000069,4-049-2 (동작-총신대)
BR1984-0000059,4-050 동작철교
AR1985-0000041,4-012 쌍문역
AR1985-0000024,4-014 수유역
AR1985-0000025,4-016 미아역
AR1985-0000026,4-018 미아사거리역
AR1985-0000027,4-020 길음역
AR1985-0000028,4-022 성신여대역
AR1985-0000029,4-024 한성대역
AR1985-0000030,4-026 혜화역
AR1985-0000089,4-028 동대문역
AR1985-0000090,4-030 동대문역사문화공원역
AR1985-0000091,4-032 충무로역
AR1985-0000092,4-034 명동역
AR1985-0000113,4-036 회현역
AR1985-0000093,4-038 서울역4호선역사
AR1985-0000094,4-040 숙대입구역
AR1985-0000095,4-042 삼각지역
AR1985-0000096,4-044 신용산역
AR1985-0000097,4-046 이촌역
AR1985-0000098,4-051 총신대입구역
AR1985-0000099,4-053 사당(4)역
AR1994-0000882,4-055 남태령역
AR2011-0000602,4-09 당고개역
AR2011-0000598,4-10 상계역
AR2011-0000599,4-11 노원역
AR2011-0000600,4-12 창동역
AR2011-0000601,4-31 동작역
TU1985-0000006,4-011-1 창동-쌍문(4)
TU1985-0000007,4-013 쌍문-수유역간 본선터널
TU1985-0000008,4-015 수유-미아역간 본선터널
TU1985-0000009,4-017 미아-미아사거리간 본선터널
TU1985-0000011,4-019 미아사거리-길음간 본선터널
TU1985-0000011,4-021 길음-성신여대역간 본선터널
TU1985-0000012,4-023 성신여대-한성대(4)
TU1985-0000013,4-025 한성대역-혜화역
TU1985-0000037,4-027 혜화역-동대문역(4)
TU1985-0000038,4-029 동대문역-동대문역사문화공원역
TU1985-0000039,4-031 동대문역사문화공원역-충무로역
TU1985-0000040,4-033 충무로역-명동역(4)
TU1985-0000041,4-035 명동역-회현역(4)
TU1985-0000042,4-037 회현역-서울역(4)
TU1985-0000043,4-039 서울역-숙대입구역(4)
TU1985-0000044,4-041 숙대입구역-삼각지역(4)
TU1985-0000045,4-043 삼각지역-신용산역(4)
TU1985-0000046,4-045 신용산역-이촌역(4)
TU1985-0000047,4-047 이촌역-동작(4)
TU1985-0000048,4-049-1 동작터널-총신대역
TU1985-0000049,4-052 총신대역-사당역(4)
TU1994-0000009,4-054 사당역-남태령역(4)
