BR1996-0000028,5호선 (5191) 상일동역-고덕기지간 고가
AR1996-0000140,5호선 (5102) 방화역사
AR1996-0000141,5호선 (5104) 개화산역사
AR1996-0000142,5호선 (5106) 김포공항역사
AR1996-0000143,5호선 (5108) 송정역사
AR1996-0000144,5호선 (5110) 마곡역사
AR1996-0000150,5호선 (5112) 발산역사
AR1996-0000151,5호선 (5114) 우장산역사
AR1996-0000145,5호선 (5116) 화곡역사
AR1996-0000110,5호선 (5118) 까치산역사
AR1996-0001759,5호선 (5120) 신정역사
AR1996-0001068,5호선 (5122) 목동역사
AR1996-0001093,5호선 (5124) 오목교역사
AR1996-0001094,5호선 (5126) 양평역사
AR1996-0001095,5호선 (5128) 영등포구청역사
AR1996-0001096,5호선 (5130) 영등포시장역사
AR1996-0001097,5호선 (5132) 신길역사
AR1996-0001385,5호선 (5134) 여의도역사
AR1997-0001033,5호선 (5136) 여의나루역사
AR1997-0000130,5호선 (5138) 마포역사
AR1997-0000131,5호선 (5140) 공덕역사
AR1997-0000132,5호선 (5142) 애오개역사
AR1997-0000133,5호선 (5144) 충정로역사
AR1997-0000134,5호선 (5146) 서대문역사
AR1997-0000135,5호선 (5148) 광화문역사
AR1997-0000138,5호선 (5150) 종로3가역사
AR1997-0000139,5호선 (5152) 을지로4가역사
AR1997-0000136,5호선 (5154) 동대문운동장역사
AR1997-0000140,5호선 (5156) 청구역사
AR1997-0000147,5호선 (5158) 신금호역사
AR1997-0000148,5호선 (5160) 행당역사
AR1997-0000080,5호선 (5162) 왕십리역사
AR1996-0000075,5호선 (5164) 마장역사
AR1996-0000061,5호선 (5166) 답십리역사
AR1996-0000061,5호선 (5168) 장한평역사
AR1996-0000062,5호선 (5170) 군자역사
AR1996-0000063,5호선 (5172) 아차산역사
AR1996-0000111,5호선 (5174) 광나루역사
AR1997-0001769,5호선 (5176) 천호역사
AR1997-0001770,5호선 (5178) 강동역사
AR1996-0000012,5호선 (5180) 길동역사
AR1996-0000077,5호선 (5182) 굽은다리역사
AR1996-0000078,5호선 (5184) 명일역사
AR1996-0000079,5호선 (5186) 고덕역사
AR1996-0000013,5호선 (5188) 상일동역사
AR1996-0000713,5호선 (5193) 둔촌동역사
AR1996-0000711,5호선 (5196) 올림픽공원역사
AR1996-0000709,5호선 (5198) 방이역사
AR1996-0000714,5호선 (5200) 오금역사
AR1996-0000715,5호선 (5202) 개롱역사
AR1996-0000716,5호선 (5204) 거여역사
AR1996-0000717,5호선 (5206) 마천역사
RW1996-0000015,5호선 (5190) 상일동역-고덕기지간 옹벽
TU1996-0000033,5호선 (5101) 방화기지-방화역간 터널
TU1995-0000031,5호선 (5103) 방화역-개화산역간 터널
TU1996-0000017,5호선 (5105) 개화산역-김포공항역간 터널
TU1996-0000018,5호선 (5107) 김포공항역-송정역간 터널
TU1996-0000019,5호선 (5109) 송정역-마곡역간 터널
TU1996-0000022,5호선 (5111) 마곡역-발산역간 터널
TU1996-0000023,5호선 (5113) 발산역-우장산역간 터널
TU1996-0000024,5호선 (5115) 우장산역-화곡역간 터널
