BR1984-0000049,3-001(지축기지,입출고선)
BR1984-0000050,3-004(지축~구파발)
BR1985-0000022,3-034-2 (금호-옥수)
BR1984-0000060,3-036 동호철교
AR1985-0000060,3-015 무악재역
AR1985-0000111,3-017 독립문역
AR1985-0000076,3-019 경복궁역
AR1985-0000077,3-021 안국역
AR1985-0000078,3-023 종로3가역
AR1985-0000112,3-025 을지3가(3)역
AR1985-0000080,3-029 동대입구역
AR1985-0000081,3-031 약수
AR1985-0000082,3-033 금호역
AR1985-0000083,3-037 압구정역
AR1985-0000084,3-039 신사역
AR1985-0000085,3-041 잠원역
AR1983-0000029,3-043 고속터미널
AR1985-0000086,3-045 교대역
AR1985-0000087,3-047 남부터미널
AR1985-0000088,3-049 양재역
AR1993-0001107,3-051 매봉역
AR1993-0001067,3-053 도곡역
AR1993-0001068,3-055 대치역
AR1993-0000861,3-057 학여울역
AR1993-0001054,3-059 대청역
AR1993-0001055,3-061 일원역
AR1993-0001056,3-063 수서역
AR2010-0001507,3-066 가락시장역
AR2010-0001508,3-068 경찰병원역
AR2010-0001509,3-070 오금역
AR2011-0000597,3-09 지축역
AR2011-0000591,3-25 옥수역
AR2000-0000966,지축기지주공장
TU1985-0000016,3-003 지축~구파발
TU1985-0000017,3-006 구파발-연신내역간 본선터널
TU1985-0000018,3-008 연신내-불광역간 본선터널
TU1985-0000019,3-010 불광-녹번역간 본선터널
TU1985-0000020,3-012 녹번역-홍제역(3)
TU1985-0000021,3-014 홍제역-무악재역(3)
TU1985-0000022,3-016 무악재역-독립문역(3)
TU1985-0000023,3-018 독립문-경복궁역간 본선터널
TU1985-0000024,3-020 경복궁-안국역간 본선터널
TU1985-0000025,3-022 안국-종로3가역간 본선터널
TU1985-0000026,3-024 종로3가-을지3가간본선터널
TU1985-0000027,3-026 을지3가-충무로간 본선터널
TU1985-0000028,3-028 충무로-동대입구간 본선터널
TU1985-0000029,3-030 동대입구-약수역간 본선터널
TU1985-0000030,3-032 약수-금호역간 본선터널
TU1985-0000031,3-034-1 금호-옥수역간 본선터널
TU1985-0000032,3-038 압구정-신사역간 본선터널
TU1985-0000033,3-040 신사-잠원역간 본선터널
TU1983-0000007,3-042 잠원-고속터미널간 본선터널
TU1985-0000034,3-044 고속터미널-교대간 본선터널
TU1985-0000035,3-046 교대-남부터미널간 본선터널
TU1985-0000036,3-048 남부터미널-양재(3)
TU1993-0000015,3-050 양재-매봉(3)
TU1993-0000012,3-052 매봉-도곡(3)
TU1993-0000002,3-054 도곡-대치(3)
TU1993-0000013,3-056 대치-학여울(3)
TU1993-0000008,3-058 학여울-대청(3)
TU1993-0000009,3-060 대청-일원(3)
TU1993-0000010,3-062 일원-수서기지(3)
TU2010-0000114,3-064 수서기지 출고선
TU2010-0000115,3-065 수서~가락시장
TU2010-0000116,3-067 가락시장~경찰병원
TU2010-0000117,3-069 경찰병원~오금
TU2010-0000118,3-071 오금~유치선
